Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~BRIDGE_RECTIFIER.PrjPcb|ReportField=ProjectFullPath~E:\PCB INTERN  training aswath\PROJECT\BRIDGE_RECTIFIER\BRIDGE_RECTIFIER.PrjPcb|ReportField=Title~Bill of Materials For PCB Document [BRIDGE_RECTIFIER_01.PcbDoc]|ReportField=TotalQuantity~11|ReportField=ReportTime~11:39:04|ReportField=ReportDate~21-01-2025|ReportField=ReportDateTime~21-01-2025 11:39:04|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~BRIDGE_RECTIFIER_01.PcbDoc|ReportField=DataSourceFullPath~E:\PCB INTERN  training aswath\PROJECT\BRIDGE_RECTIFIER\BRIDGE_RECTIFIER_01.PcbDoc
Cap Pol1|Polarized Capacitor (Radial)|C1|RB7.6-15|Cap Pol1|1
Cap|Capacitor|C2|RAD-0.3|Cap|1
Diode 1N4007|1 Amp General Purpose Rectifier|D1, D2, D3, D4|DIO10.46-5.3x2.8|Diode 1N4007|4
LED1|Typical RED GaAs LED|D5|LED-1|LED1|1
Header 2|Header, 2-Pin|P1, P2|HDR1X2|Header 2|2
Res2|Resistor|R1|AXIAL-0.4|Res2|1
MC7805ACT|3-Terminal Positive Fixed Voltage Regulator|U1|221A-04|MC7805ACT|1
